DESTINATIONID,Place Name,State,Tourist Location,Popularity,Review,Type,Budget
28,Agartala,Tripura,Jampui Hills,High,"Hill station, panoramic views.",Nature,1000
29,Agartala,Tripura,Chittagong Hills,Medium,"Hill range, trekking trails.",Adventure,1500
30,Agatti,Lakshadweep,Agatti Island,Medium,"Main island, airport, water sports hub.",Adventure,2000
31,Agatti,Lakshadweep,Agatti Beach,Medium,"Beautiful beach, snorkeling, diving.",Nature,1000
32,Agatti,Lakshadweep,Agatti Aerodrome,Medium,"Airport, gateway to Lakshadweep.",Adventure,1500
33,Agatti,Lakshadweep,"Lighthouse, Agatti Island",Low,"Scenic lighthouse, panoramic views.",Nature,2000
34,Agatti,Lakshadweep,Agatti Island Resort,Medium,"Resort, beachfront accommodation.",Hospitality,1000
35,Agra,Uttar Pradesh,Taj Mahal,High,"Impressive architecture, loved the visit.",Historical,1500
36,Agra,Uttar Pradesh,Agra Fort,High,"Historical marvel, enjoyed exploring.",Historical,2000
37,Agra,Uttar Pradesh,Fatehpur Sikri,High,"Fascinating historical site, great visit.",Historical,1000
38,Agra,Uttar Pradesh,Akbar Tomb Sikandra,Medium,"Beautiful tomb, peaceful atmosphere.",Historical,1500
39,Agra,Uttar Pradesh,Mehtab Bagh,Medium,"Mughal garden, Taj Mahal view.",Nature,2000
40,Ahmedabad,Gujarat,Sabarmati Ashram,High,"Mahatma Gandhi's residence, peaceful surroundings.",Historical,1000
41,Ahmedabad,Gujarat,Kankaria Lake,Medium,"Recreational area, boating facilities available.",Nature,1500
42,Ahmedabad,Gujarat,Adalaj Stepwell,Medium,"Architectural marvel, intricate carvings.",Historical,2000
43,Ahmedabad,Gujarat,Jama Masjid,Low,"Iconic mosque, historical significance.",Spiritual,1000
44,Ahmedabad,Gujarat,Sardar Vallabhbhai Patel Stadium,Medium,"Cricket stadium, sports events.",Entertainment,1500
45,Ahmedabad,Gujarat,"Science City, Ahmedabad",High,"Science museum, interactive exhibits.",City,2000
46,Ahmedabad,Gujarat,Kamla Nehru Zoo,Medium,"Zoological park, wildlife conservation.",Wildlife,1000
47,Ahmednagar,Maharashtra,Shani Shingnapur Temple,Medium,"Hindu temple, dedicated to Lord Shani.",Spiritual,1500
48,Ahmednagar,Maharashtra,Renuka Mata Mandir,Medium,"Hindu temple, religious rituals.",Spiritual,2000
49,Ahmednagar,Maharashtra,Konkan Railway Bridge,Medium,"Engineering marvel, scenic views.",City,1000
50,Ahmednagar,Maharashtra,Shani Shingnapur,High,"Hindu pilgrimage site, religious rituals.",Spiritual,1500
51,Ahmednagar,Maharashtra,Ahmednagar Fort,Medium,"Historical fort, architectural ruins.",Historical,2000
52,Ahmednagar,Maharashtra,Revdanda Beach,Medium,"Beach, water sports activities.",Nature,1000
53,Ahmednagar,Maharashtra,Shirdi Sai Baba Temple,Medium,"Hindu temple, pilgrimage site.",Spiritual,1500
54,Ahmednagar,Maharashtra,Siddheshwar Temple,Medium,"Hindu temple, religious rituals.",Spiritual,2000
55,Ahmednagar,Maharashtra,Kalsubai Harishchandragad Wildlife Sanctuary,Medium,"Wildlife sanctuary, biodiversity.",Nature,1000
56,Aizawl,Mizoram,Durtlang Hills,Medium,"Hill station, panoramic views.",Nature,1500
57,Aizawl,Mizoram,Mizo Hlakungpui Mual,Medium,"Mizo memorial, cultural significance.",Unique,2000
58,Aizawl,Mizoram,Solomon's Temple,Medium,"Christian church, religious significance.",Spiritual,1000
59,Aizawl,Mizoram,Bara Bazar,High,"Bustling market, local goods.",Market,1500
60,Aizawl,Mizoram,Falkawn Village,Medium,"Mizo village, cultural experience.",Village,2000
61,Ajmer,Rajasthan,Ajmer Sharif Dargah,High,"Sufi shrine, pilgrimage site, religious rituals.",Spiritual,1000
62,Ajmer,Rajasthan,Ana Sagar Lake,Medium,"Artificial lake, boating, picnic spot.",Nature,1500
63,Ajmer,Rajasthan,Soniji Ki Nasiyan,Medium,"Jain temple, architectural beauty, museum.",Spiritual,2000
64,Akola,Maharashtra,Sundarabai Khandelwal Tower,Medium,"Historical tower, architectural beauty.",Historical,1000
65,Akola,Maharashtra,Vitthal Rukmini Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1500
66,Akola,Maharashtra,Raj Rajeshwar Temple,Medium,"Hindu temple, cultural significance.",Spiritual,2000
67,Akola,Maharashtra,Sidheshwar Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1000
68,Akola,Maharashtra,Narnala Fort,High,"Historical fort, trekking destination.",Historical,1500
69,Akola,Maharashtra,Shri Raj Rajeshwar Temple,Medium,"Hindu temple, religious significance.",Spiritual,2000
70,Akola,Maharashtra,Tipeshwar Wildlife Sanctuary,Medium,"Wildlife sanctuary, safari.",Nature,1000
71,Alappuzha,Kerala,Alappuzha Beach,Medium,"Scenic beach, water sports activities.",Nature,1500
72,Alappuzha,Kerala,Ambalapuzha Sree Krishna Temple,Medium,"Hindu temple, religious rituals.",Spiritual,2000
73,Alappuzha,Kerala,Vembanad Lake,Medium,"Lake, houseboat cruises.",Nature,1000
74,Alappuzha,Kerala,St. Mary's Forane Church,Medium,"Historical church, religious festivals.",Spiritual,1500
75,Alappuzha,Kerala,Alappuzha CSI Christ Church,Low,"Historical church, colonial architecture.",Spiritual,2000
76,Alappuzha,Kerala,Karumadikuttan,Low,"Archaeological site, ancient Buddha statue.",Historical,1000
77,Alappuzha,Kerala,Pathiramanal Island,Low,"Serene island, birdwatching, boat rides.",Nature,1500
78,Alappuzha,Kerala,Edathua Church,Medium,"Pilgrimage site, Christian church.",Spiritual,2000
79,Alchi,Ladakh,Alchi Monastery,Medium,"Buddhist monastery, ancient art.",Spiritual,1000
80,Alchi,Ladakh,Saspol Caves,Medium,"Buddhist caves, archaeological site.",Historical,1500
81,Alchi,Ladakh,Alchi Dam,Medium,"Dam, scenic views, picnicking.",Nature,2000
82,Aligarh,Uttar Pradesh,Aligarh Fort,Medium,"Historical fort, architectural ruins.",Historical,1000
83,Aligarh,Uttar Pradesh,"Sai Temple, Aligarh",Medium,"Hindu temple, serene ambiance.",Spiritual,1500
84,Aligarh,Uttar Pradesh,"Sai Baba Temple, Aligarh",Medium,"Hindu temple, spiritual atmosphere.",Spiritual,2000
85,Aligarh,Uttar Pradesh,Teerthdham Mangalaayatan,Medium,"Jain pilgrimage site, religious rituals.",Spiritual,1000
86,Aligarh,Uttar Pradesh,Aligarh Muslim University,High,Prestigious educational institution.,City,1500
87,Aligarh,Uttar Pradesh,"Kwality Mall, Aligarh",Medium,"Shopping mall, entertainment complex.",City,2000
88,Aligarh,Uttar Pradesh,Naqvi Park,Medium,"Public park, recreational activities.",Nature,1000
89,Aligarh,Uttar Pradesh,Baba Barchi Bahadur Dargah,Medium,"Sufi shrine, religious significance.",Spiritual,1500
90,Aligarh,Uttar Pradesh,Khereshwar Temple,Medium,"Hindu temple, pilgrimage site.",Spiritual,2000
91,Allahabad,Uttar Pradesh,Triveni Sangam,High,"Confluence of three rivers, sacred site.",Spiritual,1000
92,Allahabad,Uttar Pradesh,Allahabad Fort,Medium,"Historical fort, Mughal architecture.",Historical,1500
93,Allahabad,Uttar Pradesh,Anand Bhavan,Medium,"Historical mansion, Nehru family residence.",Historical,2000
94,Allahabad,Uttar Pradesh,Sangam,Medium,"Holy confluence of rivers, religious rituals.",Spiritual,1000
95,Allahabad,Uttar Pradesh,Anand Bhawan,Medium,"Historical museum, Nehru family residence.",Unique,1500
96,Almora,Uttarakhand,Kasar Devi Temple,Medium,"Hindu temple, spiritual retreat.",Spiritual,2000
97,Almora,Uttarakhand,Binsar Wildlife Sanctuary,Medium,"Wildlife sanctuary, birdwatching.",Nature,1000
98,Almora,Uttarakhand,"Bright End Corner, Almora",Medium,"Viewpoint, sunset views, photography.",Nature,1500
99,Along,Arunachal Pradesh,Patum Bridge,Medium,"Bridge, scenic views.",Nature,2000
100,Along,Arunachal Pradesh,Adi Gallong Tribal Museum,Medium,"Tribal museum, cultural artifacts.",Unique,1000
101,Amaravati,Andhra Pradesh,Amaralingeswara Swamy Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1500
102,Amaravati,Andhra Pradesh,Dhyana Buddha Statue,Medium,"Buddha statue, spiritual significance.",Spiritual,2000
103,Amaravati,Andhra Pradesh,Amaravati Archaeological Museum,Medium,"Museum, showcasing artifacts.",Unique,1000
104,Amaravati,Andhra Pradesh,Amareswara Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1500
105,Amaravati,Andhra Pradesh,Amravati Stupa,Medium,"Buddhist stupa, historical site.",Historical,2000
106,Amaravati,Andhra Pradesh,Kondapalli Fort,Medium,"Historical fort, panoramic views.",Historical,1000
107,Amarpur,Tripura,"Tirthamukh, Amarpur",High,"Scenic spot, pilgrimage site.",Spiritual,1500
108,Amarpur,Tripura,Belonia Eco Park,Medium,"Eco park, nature trails.",Nature,2000
109,Amarpur,Tripura,Narikel Kunja,Medium,"Picnic spot, coconut grove.",Nature,1000
110,Amarpur,Tripura,Dumboor Lake,High,"Lake, boating, and birdwatching.",Nature,1500
111,Amarpur,Tripura,Maa Bhubaneswari Temple,Medium,"Hindu temple, religious rituals.",Spiritual,2000
112,Ambala,Haryana,Chandigarh International Airport,Low,"International airport, transportation hub.",City,1000
113,Ambala,Haryana,Bhawani Amba Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1500
114,Ambala,Haryana,Chhachhrauli Fort,Medium,"Historical fort, panoramic views.",Historical,2000
115,Ambala,Haryana,Chappar Chiri Memorial,Medium,"Memorial, historical significance.",Historical,1000
116,Ambala,Haryana,Sardar Vallabhbhai Patel Park,Medium,"Park, recreational activities.",Nature,1500
117,Ambala,Haryana,Hathi Khana Mandir,Medium,"Hindu temple, religious rituals.",Spiritual,2000
118,Ambala,Haryana,Ambala Cantonment,Medium,"Cantonment area, military presence.",City,1000
119,Ambala,Haryana,Badhkal Lake,Medium,"Lake, boating, picnic spot.",Nature,1500
120,Ambala,Haryana,Manji Sahib Gurudwara,Medium,"Gurudwara, Sikh pilgrimage site.",Spiritual,2000
121,Ambarnath,Maharashtra,"Shiv Mandir, Ambarnath, Maharashtra",Medium,"Hindu temple, religious rituals.",Spiritual,1000
122,Ambarnath,Maharashtra,Kulaba Fort,Medium,"Historical fort, panoramic views.",Historical,1500
123,Ambarnath,Maharashtra,Ulhas Valley,Medium,"Valley, scenic surroundings.",Nature,2000
124,Ambassa,Tripura,Kamaleshwari Temple,High,"Hindu temple, religious rituals.",Spiritual,1000
125,Ambassa,Tripura,Chabimura,Medium,"Cultural site, rock carvings.",Unique,1500
126,Ambattur,Tamil Nadu,Chennai Rail Museum,Medium,"Museum, railway exhibits.",Unique,2000
127,Ambattur,Tamil Nadu,Ambattur Lake,Medium,"Lake, recreational activities.",Nature,1000
128,Ambattur,Tamil Nadu,Vavin Lake,Medium,"Lake, scenic views.",Nature,1500
129,Ambernath,Maharashtra,"Shiva Temple, Ambernath",Medium,"Hindu temple, architectural beauty.",Spiritual,2000
130,Ambernath,Maharashtra,Kapurwadi,Medium,"Recreational park, picnic spot.",Nature,1000
131,Ambikapur,Chhattisgarh,"Tiger Point, Ambikapur",Medium,"Viewpoint, panoramic views.",Nature,1500
132,Ambikapur,Chhattisgarh,Kudargarh,Medium,"Pilgrimage site, religious significance.",Spiritual,2000
133,Ambikapur,Chhattisgarh,Jogimara Caves,Medium,"Caves, archaeological site.",Historical,1000
134,Ambikapur,Chhattisgarh,Sitabengara Caves,High,"Natural caves, archaeological site.",Historical,1500
135,Ambikapur,Chhattisgarh,Mahamaya Temple,High,"Hindu temple, religious rituals.",Spiritual,2000
136,Ambur,Tamil Nadu,Krishnagiri Dam,Medium,"Dam, water reservoir.",Nature,1000
137,Ambur,Tamil Nadu,Kailasanathar Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1500
138,Ambur,Tamil Nadu,Javadhu Hills,Medium,"Hill station, panoramic views.",Nature,2000
139,Amini,Lakshadweep,Amini Island,Low,"Small island, traditional lifestyle.",Unique,1000
140,Amini,Lakshadweep,Amini Thalessery Light House,Low,"Scenic lighthouse, coastal views.",Nature,1500
141,Amini,Lakshadweep,Amini Beach,Low,"Secluded beach, pristine waters.",Nature,2000
142,Amini,Lakshadweep,Amini Mosque,Low,"Community mosque, religious center.",Spiritual,1000
143,Amini,Lakshadweep,Amini Village,Low,"Traditional village, fishing community.",Village,1500
144,Amravati,Maharashtra,Chikhaldara Hill Station,Medium,"Hill station, scenic views.",Nature,2000
145,Amravati,Maharashtra,Achalpur Fort,Medium,"Historical fort, panoramic views.",Historical,1000
146,Amravati,Maharashtra,Wadali Talao,Medium,"Lake, boating, recreational activities.",Nature,1500
147,Amravati,Maharashtra,Chikhaldara Wildlife Sanctuary,Medium,"Wildlife sanctuary, nature trails.",Nature,2000
148,Amravati,Maharashtra,Melghat Tiger Reserve,High,"Tiger reserve, wildlife conservation.",Nature,1000
149,Amravati,Maharashtra,Satidham Temple,Medium,"Hindu temple, religious significance.",Spiritual,1500
150,Amritsar,Punjab,Golden Temple,High,"Sacred Sikh shrine, spiritual atmosphere.",Spiritual,2000
151,Amritsar,Punjab,Jallianwala Bagh,Medium,"Historical garden, massacre site.",Historical,1000
152,Amritsar,Punjab,Wagah Border,Medium,"Border ceremony, patriotic fervor.",Adventure,1500
153,Amritsar,Punjab,Golden Temple (Harmandir Sahib),High,"Sikh pilgrimage site, architectural beauty.",Spiritual,2000
154,Anakapalle,Andhra Pradesh,Anakapalle Beach,Medium,"Beach, recreational activities.",Nature,1000
155,Anakapalle,Andhra Pradesh,Anakapalle Market,Medium,"Marketplace, local shopping.",City,1500
156,Anakapalle,Andhra Pradesh,Anakapalle Railway Station,Medium,"Railway station, transportation hub.",City,2000
157,Anakapalle,Andhra Pradesh,Kasikonda Maharishi Ashram,Medium,"Ashram, spiritual retreat.",Spiritual,1000
158,Anakapalle,Andhra Pradesh,Sri Veera Venkata Satyanarayana Swamy Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1500
159,Anand,Gujarat,Sardar Patel Bhavan,Medium,"Museum, showcasing artifacts and history.",City,2000
160,Anand,Gujarat,Amul Dairy Museum,Medium,"Museum, showcasing dairy industry.",City,1000
161,Anand,Gujarat,Sardar Vallabhbhai Patel and Veer Vithalbhai Patel Memorial,Medium,"Memorial, honoring national leaders.",Historical,1500
162,Anand,Gujarat,Sardar Vallabhbhai Patel Statue,Medium,"Statue, historical significance.",Historical,2000
163,Anand,Gujarat,Sri Ranchhodraiji Maharaj Mandir,Medium,"Hindu temple, religious rituals.",Spiritual,1000
164,Anand,Gujarat,Vallabh Vidhyanagar,Medium,"Educational hub, university campus.",Entertainment,1500
165,Anand,Gujarat,"Amul Dairy, Anand",Medium,"Dairy farm, educational tour.",Entertainment,2000
166,Anand,Gujarat,Bhaikaka Library,Medium,"Library, educational resources.",Entertainment,1000
167,Anand,Gujarat,Charotar,High,"Rural region, cultural experience.",Unique,1500
168,Anand,Gujarat,Sevashram Hospital,Hospital,"Medical institution, charitable services.",Medical,2000
169,Anantapur,Andhra Pradesh,Lepakshi,Medium,"Hindu temple, architectural beauty.",Spiritual,1000
170,Anantapur,Andhra Pradesh,Puttaparthi,Medium,"Spiritual center, meditation retreat.",Spiritual,1500
171,Anantapur,Andhra Pradesh,Chintala Venkataramana Swamy Temple,Medium,"Hindu temple, religious rituals.",Spiritual,2000
172,Anantapur,Andhra Pradesh,Lepakshi Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1000
173,Anantapur,Andhra Pradesh,Thimmamma Marrimanu,Medium,"Tree, natural wonder.",Nature,1500
174,Anantapur,Andhra Pradesh,Gugudu Reservoir,Medium,"Water reservoir, scenic surroundings.",Nature,2000
175,Anantapur,Andhra Pradesh,Gooty Fort,Medium,"Historical fort, panoramic views.",Historical,1000
176,Anantapur,Andhra Pradesh,Penna Ahobilam,Medium,"Hindu temple, religious rituals.",Spiritual,1500
177,Anantnag,Jammu and Kashmir,Amarnath Temple,High,"Hindu temple, pilgrimage site.",Spiritual,2000
178,Anantnag,Jammu and Kashmir,Martand Sun Temple,Medium,"Hindu temple ruins, historical significance.",Historical,1000
179,Anantnag,Jammu and Kashmir,Kokernag,Medium,"Garden, natural beauty.",Nature,1500
180,Anantnag,Jammu and Kashmir,Aru Valley,Medium,"Scenic valley, trekking, camping.",Nature,2000
181,Anantnag,Jammu and Kashmir,Lidder River,Medium,"River, trout fishing, picnicking.",Nature,1000
182,Andrott,Lakshadweep,Andrott Island,Low,"Traditional island, cultural heritage.",Unique,1500
183,Andrott,Lakshadweep,Andrott Juma Masjid,Low,"Historical mosque, architectural beauty.",Spiritual,2000
184,Andrott,Lakshadweep,Andrott Beach,Low,"Remote beach, tranquil atmosphere.",Nature,1000
185,Andrott,Lakshadweep,Andrott Harbour,Low,"Fishing harbor, local livelihoods.",Economic,1500
186,Andrott,Lakshadweep,Andrott Village,Low,"Picturesque village, local lifestyle.",Village,2000
187,Anjar,Gujarat,Siddha Bhairav Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1000
188,Anjar,Gujarat,Jesal Toral Samadhi,Medium,"Hindu shrine, cultural significance.",Unique,1500
189,Anjar,Gujarat,Ramakund Stepwell,Medium,"Historical stepwell, architectural beauty.",Historical,2000
190,Anjuna,Goa,Anjuna Beach,Medium,"Tranquil beach, flea market.",Beach,1000
191,Anjuna,Goa,Anjuna Flea Market,Medium,"Shopping, handicrafts, and souvenirs.",City,1500
192,Anjuna,Goa,Chapora Fort,Medium,"Historical fort, panoramic views.",Historical,2000
193,Ankleshwar,Gujarat,Shri Ankleshwar Tirth,Medium,"Jain temple, religious rituals.",Spiritual,1000
194,Ankleshwar,Gujarat,Gayatri Shaktipith,Medium,"Hindu temple, religious rituals.",Spiritual,1500
195,Ankleshwar,Gujarat,Valand Tirth,Medium,"Jain temple, religious rituals.",Spiritual,2000
196,Arrah,Bihar,Maharaja Harendra Kishore,High,"Historical palace, cultural significance.",Historical,1000
197,Arrah,Bihar,Sita Kund,Medium,"Hindu pilgrimage site, religious rituals.",Spiritual,1500
198,Arrah,Bihar,Gandhi Maidan,Medium,"Urban park, recreational activities.",Nature,2000
199,Arrah,Bihar,Maharaja College Ground,Medium,"Cricket ground, sports events.",Entertainment,1000
200,Arrah,Bihar,Shahi Masjid,Medium,"Islamic mosque, religious rituals.",Spiritual,1500
201,Arrah,Bihar,Veer Kunwar Singh Park,Medium,"Urban park, recreational activities.",Nature,2000
202,Arrah,Bihar,Beni Madhav Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1000
203,Arrah,Bihar,Surajpura Thermal Power Station,Medium,"Power plant, industrial area.",City,1500
204,Aruppukkottai,Tamil Nadu,Aruppukottai Sri Sitharama Perumal Temple,Medium,"Hindu temple, religious rituals.",Spiritual,2000
205,Aruppukkottai,Tamil Nadu,Vattara Sri Muthumaari Amman Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1000
206,Aruppukkottai,Tamil Nadu,Sri Ayyanarappan Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1500
207,Asansol,West Bengal,Kalyaneshwari Temple,Medium,"Hindu temple, religious significance.",Spiritual,2000
208,Asansol,West Bengal,Ghani Khan Choudhury Institute of Engineering & Technology,High,"Engineering college, educational institution.",City,1000
209,Asansol,West Bengal,Kumaramangalam Park,Medium,"Public park, recreational activities.",Nature,1500
210,Atmakur,Andhra Pradesh,Sri Venugopala Swamy Temple,Medium,"Hindu temple, religious rituals.",Spiritual,2000
211,Atmakur,Andhra Pradesh,Mahanandi Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1000
212,Atmakur,Andhra Pradesh,Rollapadu Wildlife Sanctuary,Medium,"Wildlife sanctuary, birdwatching.",Nature,1500
213,Chhatrapati-Sambhajinagar,Maharashtra,Ellora Caves,High,"World Heritage Site, ancient rock-cut caves.",Historical,2000
214,Chhatrapati-Sambhajinagar,Maharashtra,Bibi Ka Maqbara,Medium,"Mini Taj Mahal, Mughal architecture.",Historical,1000
215,Chhatrapati-Sambhajinagar,Maharashtra,Ajanta Caves,High,"World Heritage Site, Buddhist cave art.",Historical,1500
216,Chhatrapati-Sambhajinagar,Maharashtra,Daulatabad Fort,High,"Historical fort, architectural ruins.",Historical,2000
217,Avadi,Tamil Nadu,Avadi Tank,Medium,"Historic tank, recreational area.",Nature,1000
218,Avadi,Tamil Nadu,Avadi Vel Murugan Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1500
219,Avadi,Tamil Nadu,Chettiyar Agaram,Medium,"Village, cultural experience.",Village,2000
220,Avadi,Tamil Nadu,Avadi Tank Factory,Medium,"Industrial site, tank manufacturing.",City,1000
221,Avadi,Tamil Nadu,Avadi Velankanni Church,Medium,"Christian church, religious significance.",Spiritual,1500
222,Avadi,Tamil Nadu,Maha Periyava Manimandapam,Medium,"Religious site, honoring spiritual leader.",Spiritual,2000
223,Avadi,Tamil Nadu,AVM Studios,Medium,"Film studio, movie production.",Entertainment,1000
224,Avadi,Tamil Nadu,Thirumullaivoyal Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1500
225,Avadi,Tamil Nadu,Avadi Church,Medium,"Church, religious rituals.",Spiritual,2000
226,Ayodhya,Uttar Pradesh,"Ram Janmabhoomi, Ram Mandir",Medium,"Hindu pilgrimage site, birthplace of Lord Rama.",Spiritual,1000
227,Ayodhya,Uttar Pradesh,Hanuman Garhi,Medium,"Hindu temple, dedicated to Lord Hanuman.",Spiritual,1500
228,Azamgarh,Uttar Pradesh,Shaheed Smarak,Medium,"Memorial, historical significance.",Historical,2000
229,Azamgarh,Uttar Pradesh,Aam Bagh,Medium,"Garden, recreational activities.",Nature,1000
230,Azamgarh,Uttar Pradesh,Maa Jwala Ji Mandir,Medium,"Hindu temple, religious rituals.",Spiritual,1500
231,Badami,Karnataka,Badami Cave Temples,High,"Hindu and Jain cave temples, rock-cut architecture.",Spiritual,2000
232,Badami,Karnataka,Banashankari Temple,Medium,"Hindu temple, architectural significance.",Spiritual,1000
233,Badami,Karnataka,Aihole,Medium,"Historical site, Chalukya architecture.",Historical,1500
234,Badgam,Jammu and Kashmir,Aharbal Waterfall,Medium,"Waterfall, picnic spot.",Nature,2000
235,Badgam,Jammu and Kashmir,Doodhpathri,Medium,"Meadow, trekking, horse riding.",Nature,1000
236,Bahraich,Uttar Pradesh,Tapovan Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1500
237,Bahraich,Uttar Pradesh,Kailashpuri Temple,Medium,"Hindu temple, religious rituals.",Spiritual,2000
238,Bahraich,Uttar Pradesh,Bharat Kund,Medium,"Pilgrimage site, religious rituals.",Spiritual,1000
239,Balasore,Odisha,Chandipur Beach,High,"Beach, unique disappearing phenomenon.",Nature,1500
240,Balasore,Odisha,Panchalingeshwar Temple,Medium,"Hindu temple, scenic hilltop location.",Spiritual,2000
241,Balasore,Odisha,Khirochora Gopinath Temple,High,"Hindu temple, religious significance.",Spiritual,1000
242,Ballia,Uttar Pradesh,Gandhi Museum,Medium,"Museum, historical artifacts.",Unique,1500
243,Ballia,Uttar Pradesh,Turturiya Mahadev Temple,Medium,"Hindu temple, religious rituals.",Spiritual,2000
244,Ballia,Uttar Pradesh,Chhoti Dargah,Medium,"Mosque, religious rituals.",Spiritual,1000
245,Balurghat,West Bengal,Debinagar Bird Sanctuary,Medium,"Bird sanctuary, birdwatching.",Nature,1500
246,Balurghat,West Bengal,Kali Mandir,Medium,"Hindu temple, religious rituals.",Spiritual,2000
247,Balurghat,West Bengal,Balurghat Museum,Medium,"Museum, showcasing local history.",City,1000
248,Banda,Uttar Pradesh,Kalinjar Fort,Medium,"Historical fort, panoramic views.",Historical,1500
249,Banda,Uttar Pradesh,Tundla Kham,Medium,"Historical site, archaeological ruins.",Historical,2000
250,Banda,Uttar Pradesh,Jasra,Medium,"Historical site, archaeological ruins.",Historical,1000
251,Bangalore,Karnataka,Lalbagh Botanical Garden,High,"Beautiful garden, variety of flora.",Nature,1500
252,Bangalore,Karnataka,Bangalore Palace,Medium,"Majestic architecture, guided tours available.",Historical,2000
253,Bangalore,Karnataka,Cubbon Park,Low,"Green oasis in the city, great for picnics.",Nature,1000
254,Bangalore,Karnataka,Tipu Sultan's Summer Palace,Medium,"Historical landmark, exhibits artefacts.",Historical,1500
255,Bangalore,Karnataka,Vidhana Soudha,High,Neo-Dravidian style legislative building.,City,2000
256,Bangaram,Lakshadweep,Bangaram Island,Low,"Secluded island, pristine beaches.",Nature,1000
257,Bangaram,Lakshadweep,Bangaram Beach,Low,"Remote beach, snorkeling, relaxation.",Nature,1500
258,Bangaram,Lakshadweep,Bangaram Dive Center,Low,"Diving center, underwater exploration.",Adventure,2000
259,Bangaram,Lakshadweep,Bangaram Resort,Medium,"Resort, beachside accommodation.",Nature,1000
260,Bangaram,Lakshadweep,Tinnakara Island,Low,"Picturesque island, camping.",Nature,1500
261,Bankura,West Bengal,Joyrambati,Medium,"Pilgrimage site, birthplace of Sri Sarada Devi.",Spiritual,2000
